"","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","othblf2","pubact3","prvact2"
"247",10,1,2,1,1,1,2,"Female",60,"High School","Self Employed","White","Christian","Married",2,4,4,2,2,2,2
"248",6,4,6,1,1,1,2,"Female",35,"High School","Full Time","Black","None","Single",1,5,2,4,1,2,1
"249",8,1,7,1,2,3,2,"Male",68,"High School","Unemployed","White","Christian","Married",1,5,2,4,1,0,2
"250",9,4,7,1,1,3,2,"Male",25,"High School","Full Time","White","None","Single",3,4,2,4,1,0,2
"251",8,1,7,1,1,3,2,"Male",62,"Some College","Unemployed","White","Christian","Widowed",3,4,1,2,2,0,3
"252",10,1,2,1,1,1,2,"Female",65,"High School","Unemployed","White","Christian","Married",1,2,4,2,2,2,1
"253",10,9,1,1,1,1,2,"Male",42,"High School","Full Time","Black","Christian","Married",1,4,4,4,2,2,1
"254",5,1,4,0,2,2,2,"Male",75,"High School","Unemployed","White","Judaism","Married",2,5,1,1,2,0,2
"255",10,6,2,1,1,1,2,"Male",50,"High School","Other","White","None","Married",2,5,5,5,2,2,1
"256",10,1,3,0,1,1,2,"Female",71,"High School","Full Time","White","None","Widowed",3,4,4,4,2,0,1
"257",10,1,7,1,1,2,2,"Male",59,"Some College","Unemployed","Black","None","Single",3,5,2,5,2,0,2
"258",4,2,7,1,2,2,2,"Male",33,"High School","Full Time","White","None","Married",3,4,4,4,2,0,2
"259",10,1,1,1,1,1,2,"Male",38,"High School","Full Time","White","Christian","Married",2,1,2,1,2,2,1
"260",7,3,6,1,1,3,2,"Male",50,"High School","Other","White","None","Married",2,4,4,4,2,1,3
"261",9,1,7,1,1,2,2,"Male",65,"Some College","Unemployed","White","Christian","Married",3,5,1,4,2,1,2
"262",1,1,7,0,2,3,2,"Male",62,"High School","Self Employed","White","None","Separated",1,4,1,4,1,0,3
"263",10,1,2,1,1,1,2,"Male",70,"High School","Unemployed","White","Catholic","Married",2,2,5,2,2,1,2
"264",10,1,2,1,1,2,2,"Female",61,"High School","Housewife","White","Christian","Married",3,4,5,1,2,0,2
"265",10,3,7,NA,1,2,2,"Male",42,"High School","Full Time","White","None","Separated",2,4,2,2,2,0,4
"266",10,2,2,1,1,1,2,"Female",72,"High School","Unemployed","White","Christian","Widowed",2,1,5,1,2,2,3
"267",10,1,1,1,1,1,2,"Male",52,"High School","Self Employed","White","Christian","Separated",1,2,4,2,2,2,1
"268",6,2,4,1,2,3,2,"Male",53,"Some College","Other","Black","None","Single",3,4,1,4,2,0,1
"269",9,1,4,1,1,2,2,"Female",29,"High School","Self Employed","White","Christian","Single",2,4,1,4,2,1,2
"270",10,1,1,1,2,1,2,"Male",38,"High School","Self Employed","White","None","Married",1,1,5,1,2,2,1
"271",10,2,2,1,1,1,2,"Male",48,"Primary School","Full Time","White","Christian","Married",2,4,2,2,2,1,3
"272",10,1,3,1,1,1,2,"Female",47,"High School","Full Time","White","Christian","Married",2,2,4,4,2,2,3
"273",5,1,4,0,1,4,2,"Male",54,"High School","Full Time","White","Catholic","Married",4,5,5,1,2,0,1
"274",8,1,7,1,2,2,2,"Male",61,"High School","Other","White","Christian","Married",3,4,4,4,2,0,1
"275",10,1,3,1,1,2,2,"Female",32,"High School","Housewife","White","Other","Married",2,4,1,4,2,2,2
"276",1,1,7,0,2,4,2,"Male",58,"High School","Unemployed","White","Catholic","Separated",3,5,1,1,2,0,3
"277",1,1,3,0,2,4,2,"Male",36,"Some College","Full Time","White","Other","Married",3,5,1,5,2,1,3
"278",10,1,6,1,1,2,2,"Female",44,"High School","Other","White","Christian","Married",3,4,1,4,2,1,3
"279",9,1,6,1,1,2,2,"Male",70,"High School","Unemployed","White","Other","Separated",2,1,2,4,2,1,2
"280",10,3,6,1,1,3,2,"Male",56,"High School","Full Time","White","Catholic","Separated",2,1,2,2,2,0,3
"281",1,1,7,0,2,3,2,"Female",77,"Primary School","Unemployed","White","Judaism","Married",3,5,1,5,1,0,2
"282",8,1,7,1,1,2,2,"Female",71,"High School","Unemployed","White","Christian","Married",3,5,1,4,2,1,2
"283",-5,-5,-5,NA,-5,1,2,"Female",36,"Primary School","Full Time","Hispanic",NA,"Married",-5,-5,-5,-5,-5,-5,-5
"284",10,1,1,1,1,1,2,"Male",49,"Some College","Full Time","White","Other","Married",2,4,4,4,2,2,1
"285",10,1,7,1,1,3,2,"Male",56,"High School","Full Time","White","None","Married",2,5,1,4,2,0,3
"286",3,1,7,0,2,4,2,"Female",41,"High School","Self Employed","White","None","Separated",3,5,1,5,2,0,2
"287",6,2,6,0,2,3,2,"Female",29,"High School","Self Employed","White","None","Single",3,5,1,4,1,0,2
"288",10,1,2,1,1,1,2,"Female",62,"High School","Full Time","White","Christian","Married",1,1,1,2,2,2,3
"289",9,1,6,1,1,2,2,"Male",80,"Primary School","Unemployed","White","Christian","Married",3,4,1,4,2,1,2
"290",10,1,2,1,1,1,2,"Female",82,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,2,2,3
"291",9,2,2,1,1,1,2,"Male",76,"High School","Full Time","White","Christian","Married",2,2,4,4,2,2,1
"292",10,1,7,1,2,3,2,"Male",65,"High School","Other","White","None","Married",3,5,4,4,2,0,2
"293",8,2,-2,1,1,4,2,"Female",53,"High School","Full Time","White",NA,"Separated",4,2,4,2,1,0,3
"294",10,1,3,1,1,1,2,"Female",59,"High School","Other","Other","Other","Separated",3,4,1,4,1,2,1
"295",10,1,2,1,1,1,2,"Male",49,"High School","Other","White","Catholic","Single",2,1,4,1,2,2,1
"296",-2,-2,-2,NA,-2,-2,2,"Male",29,"High School","Full Time","Black",NA,"Single",-2,-2,-2,-2,1,1,-2
"297",10,1,4,1,1,1,2,"Male",26,"High School","Self Employed","White","Christian","Single",1,4,2,4,2,1,2
"298",10,1,2,1,1,1,2,"Male",74,"High School","Unemployed","White","Catholic","Married",1,2,2,2,2,2,3
"299",7,7,6,1,1,3,2,"Male",36,"High School","Full Time","White","None","Separated",2,4,1,5,2,0,2
"300",10,1,2,1,1,1,2,"Male",91,"Primary School","Unemployed","White","Christian","Widowed",1,4,4,4,2,2,3
"301",10,1,6,1,1,2,2,"Male",66,"High School","Full Time","Other","None","Separated",2,2,4,2,2,0,2
"302",5,5,4,1,1,1,2,"Male",23,"High School","Full Time","White","Other","Married",1,2,2,4,2,1,1
"303",10,1,2,1,1,1,2,"Male",74,"High School","Unemployed","Black","Christian","Separated",1,1,2,2,2,2,2
"304",10,1,2,1,1,1,2,"Female",62,"High School","Housewife","White","Christian","Married",1,2,1,2,2,2,1
"305",10,1,2,1,1,2,2,"Female",85,"High School","Unemployed","White","Christian","Married",2,4,4,2,2,1,2
"306",10,1,2,1,1,1,2,"Female",18,"Primary School","Other","White","Christian","Single",2,5,2,2,2,2,3
"307",1,1,7,0,3,4,2,"Male",51,"High School","Self Employed","White","None","Separated",4,5,1,5,2,0,2
"308",9,1,7,1,1,2,2,"Female",80,"High School","Unemployed","White","Christian","Widowed",2,1,1,2,2,0,1
"309",10,3,2,1,1,2,2,"Female",52,"High School","Housewife","White","Catholic","Married",2,4,4,4,2,2,2
"310",5,1,7,0,2,3,2,"Male",45,"High School","Full Time","White","None","Separated",3,5,1,2,2,0,1
"311",9,1,5,1,1,2,2,"Female",55,"High School","Housewife","White","Catholic","Married",3,4,1,4,2,1,3
"312",10,3,3,0,1,1,2,"Male",28,"High School","Full Time","Hispanic","Catholic","Married",1,1,1,1,1,0,3
"313",10,1,2,1,1,1,2,"Male",55,"High School","Other","White","Other","Married",1,4,2,2,2,2,2
"314",1,3,7,0,1,4,2,"Female",58,"High School","Self Employed","White","None","Married",3,5,1,5,2,0,3
"315",10,1,2,1,1,1,2,"Male",69,"High School","Unemployed","White","Catholic","Married",2,4,4,2,2,2,2
"316",5,-2,6,1,1,2,2,"Female",41,"High School","Housewife","White","Other","Married",-2,1,1,2,2,1,2
"317",10,1,2,1,2,1,2,"Male",52,"High School","Self Employed","Other","Other","Widowed",4,5,1,5,2,0,1
"318",10,1,2,1,1,1,2,"Male",65,"High School","Unemployed","White","Christian","Separated",2,4,5,1,2,2,1
"319",10,1,4,1,1,1,2,"Female",50,"High School","Self Employed","White","Other","Married",2,4,4,2,2,1,3
"320",10,1,6,1,1,1,2,"Male",51,"High School","Self Employed","Black","Christian","Single",3,1,1,4,2,0,1
"321",10,1,3,1,1,1,2,"Male",48,"High School","Full Time","White","Christian","Married",2,4,4,1,2,2,2
"322",10,1,4,1,1,3,2,"Male",66,"High School","Unemployed","White","Catholic","Single",2,5,1,4,2,1,4
"323",-5,-5,-5,NA,-5,2,2,"Male",51,"High School","Full Time","White",NA,"Single",-5,-5,-5,-5,2,0,-5
"324",3,5,7,0,2,3,2,"Male",53,"High School","Other","White","None","Separated",2,4,1,4,2,0,2
"325",10,1,1,1,1,1,2,"Female",65,"High School","Housewife","White","Catholic","Married",1,4,5,1,2,2,1
"326",10,1,1,1,1,1,2,"Male",76,"High School","Unemployed","White","Christian","Widowed",2,2,2,2,2,0,1
"327",10,1,3,1,1,1,2,"Male",46,"High School","Full Time","White","Other","Married",1,5,5,1,2,1,1
"328",10,3,1,1,1,1,2,"Female",25,"Some College","Full Time","White","Christian","Married",1,2,4,2,2,2,1
"329",10,1,4,1,1,2,2,"Male",58,"High School","Full Time","Hispanic","Catholic","Single",3,5,5,5,2,1,1
"330",10,1,-2,1,1,2,2,"Male",77,"High School","Unemployed","White","Christian","Married",1,1,5,1,2,1,2
"331",10,8,2,1,1,1,2,"Female",75,"High School","Unemployed","White","Christian","Widowed",1,1,1,2,2,2,3
"332",-2,-2,-2,NA,-2,4,2,"Male",19,"High School","Other","Hispanic",NA,"Single",-2,-2,-2,-2,2,1,-2
"333",10,1,7,1,1,1,2,"Female",49,"High School","Full Time","Hispanic","Catholic","Married",3,4,4,4,1,0,1
"334",10,3,7,1,1,1,2,"Female",65,"High School","Other","White","Catholic","Separated",2,2,4,4,2,0,2
"335",-5,-5,-5,NA,-5,4,2,"Male",44,"High School","Full Time","White",NA,"Married",-5,-5,-5,-5,2,0,-5
"336",10,1,7,1,1,1,2,"Male",52,"High School","Full Time","White","Christian","Married",3,4,1,2,2,1,3
"337",10,6,6,1,1,2,2,"Male",52,"High School","Full Time","Black","Christian","Single",2,4,1,4,2,1,4
"338",7,4,7,1,1,3,2,"Male",55,"High School","Full Time","Black","Other","Separated",2,5,1,5,1,0,3
"339",9,1,7,1,2,3,2,"Female",67,"High School","Unemployed","White","None","Widowed",3,2,1,4,2,0,2
"340",9,5,7,1,1,2,2,"Male",43,"High School","Full Time","White","Christian","Married",3,2,1,4,2,0,2
"341",10,1,2,1,1,1,2,"Male",29,"High School","Full Time","White","Other","Married",1,2,1,1,2,2,4
"342",10,10,7,1,1,3,2,"Male",53,"High School","Other","White","None","Separated",4,4,2,5,1,0,2
"343",7,6,7,1,2,1,2,"Male",31,"Degree","Self Employed","White","None","Single",4,2,4,4,2,0,1
"344",10,1,2,1,1,1,2,"Female",65,"High School","Unemployed","White","Christian","Married",1,1,5,1,2,2,2
"345",7,3,7,1,2,4,2,"Female",59,"High School","Self Employed","White","None","Married",4,4,2,5,1,0,1
"346",10,1,3,1,1,2,2,"Male",40,"High School","Full Time","White","Catholic","Married",1,4,5,2,2,2,3
"347",7,1,7,1,2,3,2,"Male",64,"High School","Other","White","Christian","Married",3,4,2,5,2,1,2
"348",10,2,2,1,1,2,2,"Male",35,"High School","Full Time","Other","Catholic","Married",2,4,2,4,2,2,1
"349",10,3,2,1,1,1,2,"Female",20,"High School","Full Time","White","Other","Single",1,2,1,2,2,2,2
"350",10,1,3,1,1,1,2,"Female",73,"High School","Unemployed","White","Catholic","Married",2,4,5,2,2,2,2
"351",10,1,2,1,1,1,2,"Male",36,"High School","Full Time","White","Christian","Married",2,4,2,4,2,2,2
"352",10,1,2,1,1,1,2,"Female",38,"High School","Housewife","White","Other","Married",2,4,5,2,2,2,1
"353",8,1,7,1,2,3,2,"Female",56,"High School","Full Time","Other","Other","Single",2,4,4,4,2,0,2
"354",10,1,1,1,1,1,2,"Female",36,"Some College","Housewife","White","Christian","Married",1,4,4,4,2,2,1
"355",10,1,2,1,1,1,2,"Female",19,"High School","Full Time","White","Christian","Single",1,4,4,1,2,2,1
"356",7,6,3,1,1,3,2,"Male",48,"High School","Self Employed","White","Christian","Married",2,2,4,2,2,0,2
"357",10,1,2,1,1,1,2,"Female",61,"High School","Unemployed","White","Catholic","Married",2,4,1,4,1,2,2
"358",10,1,3,1,1,1,2,"Female",32,"Some College","Other","White","Christian","Married",2,5,1,4,2,2,1
"359",6,1,5,1,2,2,2,"Male",32,"Some College","Full Time","White","Other","Married",2,5,1,5,2,1,2
"360",10,1,1,1,1,1,2,"Female",65,"Some College","Unemployed","Black","Christian","Widowed",1,2,2,2,2,2,1
"361",7,1,6,0,1,4,2,"Male",38,"High School","Self Employed","White","Christian","Married",3,5,1,4,1,0,3
"362",8,2,1,1,1,1,2,"Female",42,"High School","Self Employed","Hispanic","Other","Married",2,2,4,2,2,2,3
"363",10,2,4,1,1,2,2,"Female",20,"High School","Full Time","White","Catholic","Single",2,4,4,4,2,0,2
"364",10,1,1,1,1,1,2,"Male",72,"High School","Unemployed","White","Christian","Married",1,4,5,1,2,2,1
"365",10,2,5,1,2,2,2,"Female",38,"Some College","Self Employed","Hispanic","None","Single",3,2,4,2,2,0,1
"366",8,5,7,1,2,4,2,"Female",20,"High School","Unemployed","White","None","Single",1,4,4,4,2,0,3
"367",1,1,7,1,3,4,2,"Male",44,"High School","Full Time","White","None","Married",4,5,2,5,2,0,2
"368",10,1,2,1,1,1,2,"Female",55,"High School","Full Time","White","Christian","Married",2,1,5,2,2,2,1
"369",2,5,5,1,2,3,2,"Female",19,"High School","Unemployed","White","None","Single",2,5,1,4,1,0,3
"370",10,1,3,1,1,1,2,"Female",72,"High School","Unemployed","White","Christian","Married",2,1,4,2,2,1,2
"371",7,1,3,0,1,2,2,"Male",49,"High School","Full Time","White","Christian","Separated",1,4,4,4,2,2,3
"372",8,1,7,0,2,3,2,"Male",35,"High School","Full Time","White","Christian","Single",3,5,1,5,1,0,2
"373",1,6,7,0,2,4,2,"Male",35,"High School","Full Time","White","None","Married",3,5,1,5,2,0,4
"374",10,1,3,1,1,2,2,"Male",34,"Degree","Full Time","Hispanic","Catholic","Married",3,5,2,4,2,2,1
"375",2,3,6,1,2,3,2,"Male",74,"Some College","Unemployed","White","Other","Married",3,5,5,5,1,0,3
"376",8,1,6,1,1,2,2,"Female",20,"High School","Other","White","Christian","Married",3,4,4,4,2,0,1
"377",8,1,3,1,1,3,2,"Male",38,"High School","Full Time","White","Other","Married",4,4,1,5,2,0,1
"378",8,1,7,1,2,3,2,"Female",50,"Some College","Unemployed","White","None","Separated",3,5,1,5,1,0,3
"379",5,2,2,1,1,2,2,"Female",41,"High School","Full Time","White","Catholic","Single",2,4,2,4,2,2,2
"380",10,2,2,1,1,1,2,"Male",27,"High School","Full Time","Other","Other","Married",1,2,5,1,2,2,2
"381",-5,-5,-5,NA,-5,4,2,"Male",57,"Some College","Other","White",NA,"Single",-5,-5,-5,-5,2,0,-5
"382",10,1,6,1,1,1,2,"Female",63,"High School","Self Employed","White","Christian","Separated",1,4,2,2,2,1,1
"383",10,1,2,1,1,1,2,"Female",52,"High School","Part Time","Hispanic","Catholic","Married",2,2,4,2,2,2,2
"384",6,1,4,1,1,2,2,"Male",19,"High School","Unemployed","Hispanic","None","Single",2,2,5,4,2,1,1
"385",2,1,2,0,2,3,2,"Male",29,"High School","Full Time","White","Catholic","Married",3,5,4,4,2,1,3
"386",8,1,7,1,2,2,2,"Female",26,"High School","Unemployed","Black","None","Married",3,4,4,5,1,0,2
"387",10,3,4,1,1,2,2,"Female",52,"High School","Self Employed","White","None","Separated",3,5,1,4,1,0,2
"388",10,1,7,1,1,1,2,"Female",64,"High School","Part Time","White","Christian","Separated",2,4,5,2,2,1,1
"389",10,3,4,1,2,3,2,"Female",40,"High School","Full Time","Hispanic","Catholic","Single",2,4,4,4,2,1,2
"390",8,2,3,1,1,2,2,"Female",52,"High School","Full Time","Hispanic","Judaism","Married",2,4,2,4,2,1,2
"391",10,1,3,1,1,1,2,"Female",28,"High School","Housewife","White","Catholic","Married",1,1,5,1,2,2,2
"392",-5,-5,-5,NA,-5,2,2,"Male",55,"High School","Other","Other",NA,"Married",-5,-5,-5,-5,-5,-5,-5
"393",10,3,4,1,1,2,2,"Male",66,"High School","Unemployed","White","Catholic","Married",2,1,4,2,2,1,3
"394",10,1,2,1,1,1,2,"Female",41,"High School","Full Time","White","Catholic","Married",1,4,4,4,2,2,2
"395",9,6,3,1,1,2,2,"Female",59,"High School","Full Time","White","Christian","Separated",2,4,2,4,2,2,3
"396",7,1,7,1,2,3,2,"Male",34,"Some College","Full Time","White","None","Married",3,5,4,4,2,0,2
"397",10,1,6,1,1,2,2,"Female",24,"High School","Full Time","White","None","Married",1,4,2,4,2,1,2
"398",10,5,5,1,1,1,2,"Female",46,"High School","Full Time","Black",NA,"Single",1,1,4,4,1,1,1
"399",8,2,5,1,1,3,2,"Female",39,"High School","Full Time","White","None","Single",3,4,4,4,2,0,2
"400",9,1,4,1,1,3,2,"Male",54,"High School","Full Time","White","Catholic","Separated",3,1,1,1,2,1,2
"401",10,1,2,1,1,1,2,"Female",68,"High School","Unemployed","White","Christian","Married",1,4,4,1,2,2,1
"402",9,2,6,1,1,2,2,"Male",69,"High School","Full Time","White","Christian","Married",2,4,4,2,1,0,2
"403",10,1,2,1,1,1,2,"Female",36,"High School","Full Time","White","Other","Married",2,1,5,1,2,2,2
"404",9,2,3,1,1,2,2,"Female",67,"High School","Full Time","White","None","Married",2,5,2,4,2,1,1
"405",10,1,1,1,1,1,2,"Male",67,"High School","Unemployed","White","Christian","Married",2,1,4,1,2,2,2
"406",9,6,2,1,1,2,2,"Male",45,"High School","Self Employed","White","Catholic","Married",2,4,2,2,2,2,3
"407",10,1,1,1,1,1,2,"Female",57,"High School","Self Employed","White","Christian","Married",2,4,4,4,2,2,1
"408",10,1,1,1,1,1,2,"Male",38,"High School","Self Employed","White","Other","Married",4,5,1,4,2,2,1
"409",1,1,2,0,2,4,2,"Female",41,"High School","Self Employed","White","Other","Married",3,5,1,5,2,2,3
"410",4,2,7,0,2,3,2,"Female",46,"High School","Full Time","Other","Catholic","Single",2,4,4,4,2,0,2
"411",10,1,3,1,1,2,2,"Female",43,"High School","Self Employed","White","Catholic","Married",2,1,1,1,2,2,2
"412",10,1,7,1,1,2,2,"Female",55,"High School","Full Time","White","Christian","Separated",2,4,2,4,2,1,2
"413",6,6,7,0,2,1,2,"Female",19,"High School","Full Time","Other","Christian","Single",3,4,4,4,1,1,2
"414",9,1,3,1,1,2,2,"Male",47,"Some College","Full Time","White","Christian","Married",2,5,2,4,2,2,2
"415",1,5,7,0,3,4,2,"Male",18,"High School","Unemployed","White","None","Single",4,5,1,5,2,0,2
"416",2,1,5,0,2,4,2,"Female",43,"Some College","Full Time","White","Christian","Widowed",3,5,1,5,2,0,1
"417",10,1,1,1,1,1,2,"Male",38,"High School","Full Time","White","Christian","Single",2,1,4,2,2,2,1
"418",-5,-5,-5,NA,-5,1,2,"Female",78,"High School","Unemployed","White",NA,"Separated",-5,-5,-5,-5,-5,-2,-5
"419",10,1,1,1,2,1,2,"Male",53,"High School","Full Time","White","None","Married",2,4,5,2,2,2,1
"420",2,1,7,0,2,4,2,"Female",28,"High School","Full Time","White","None","Married",3,5,1,5,1,0,3
"421",-5,-5,-5,NA,-5,2,2,"Female",24,"High School","Other","Black",NA,"Single",-5,-5,-5,-5,-5,2,-5
"422",10,1,1,1,1,1,2,"Female",43,"High School","Full Time","White","Other","Single",1,4,5,2,2,2,2
"423",3,3,6,0,1,-2,2,"Male",53,"High School","Self Employed","White","None","Married",3,5,2,5,2,0,3
"424",3,1,7,1,2,3,2,"Female",27,"High School","Full Time","White","Christian","Single",2,4,2,4,2,0,2
"425",6,2,6,1,2,3,2,"Female",18,"High School","Full Time","White","None","Single",2,4,4,4,2,1,2
"426",10,1,7,1,1,1,2,"Female",55,"High School","Unemployed","White","Catholic","Separated",2,5,1,4,2,0,1
"427",10,5,1,1,1,1,2,"Female",22,"High School","Self Employed","White","Other","Single",3,2,2,2,2,2,1
"428",10,1,1,1,1,1,2,"Female",52,"High School","Full Time","White","Christian","Married",2,2,2,1,2,2,2
"429",10,8,4,1,1,1,2,"Female",47,"High School","Full Time","White",NA,"Married",1,4,1,2,2,0,2
"430",1,6,7,0,2,4,2,"Female",40,"Some College","Full Time","Black","None","Single",4,4,5,5,2,0,1
"431",10,1,2,1,1,1,2,"Female",32,"High School","Housewife","White","Christian","Married",2,5,2,2,2,2,1
"432",10,1,1,1,1,1,2,"Male",58,"Some College","Self Employed","White","Christian","Married",1,2,4,2,2,2,2
"433",10,1,5,1,2,3,2,"Female",48,"Some College","Full Time","Other","None","Married",2,4,4,5,2,0,2
"434",4,3,7,0,1,3,2,"Female",32,"High School","Full Time","White","None","Separated",3,4,2,5,2,0,2
"435",8,1,7,1,1,3,2,"Female",51,"High School","Housewife","Other","None","Married",2,5,4,4,2,0,2
"436",9,1,7,1,1,3,2,"Female",50,"High School","Unemployed","Black","None","Separated",3,4,1,4,2,0,2
"437",9,1,3,1,1,3,2,"Male",42,"High School","Full Time","White","Catholic","Married",3,4,1,5,2,1,2
"438",-5,-5,-5,NA,-5,3,2,"Female",25,"High School","Full Time","White",NA,"Single",4,-5,-5,-5,2,0,-5
"439",7,1,4,0,1,2,2,"Male",28,"High School","Full Time","Other","Christian","Married",3,5,4,5,2,1,2
"440",8,3,2,1,1,2,2,"Male",26,"Some College","Other","White","Catholic","Single",3,5,1,5,2,1,4
"441",10,1,6,1,1,2,2,"Male",56,"High School","Full Time","White","None","Married",2,4,2,5,2,0,1
"442",10,1,3,1,1,2,2,"Female",49,"High School","Full Time","White","Christian","Single",2,1,5,1,2,1,3
"443",8,1,4,0,1,2,2,"Male",64,"Some College","Unemployed","White","None","Married",3,4,4,4,2,1,2
"444",10,2,6,1,1,1,2,"Male",52,"Some College","Full Time","White","None","Married",3,4,5,1,2,1,2
"445",10,1,2,1,1,1,2,"Female",27,"High School","Full Time","White","Other","Single",2,4,2,2,2,2,1
"446",6,6,7,1,1,1,2,"Male",22,"High School","Unemployed","Hispanic","Catholic","Single",2,4,4,4,1,1,3
"447",6,1,7,1,2,3,2,"Female",27,"High School","Full Time","White","None","Married",3,5,1,5,2,0,2
"448",1,1,7,1,2,3,2,"Female",72,"High School","Unemployed","White","None","Separated",3,5,4,4,2,0,2
"449",6,2,2,1,1,1,2,"Female",61,"Some College","Full Time","White","Judaism","Married",2,5,2,4,2,2,1
"450",6,2,7,1,1,3,2,"Female",33,"High School","Full Time","White","None","Married",2,5,4,2,2,0,1
"451",10,5,2,1,1,1,2,"Female",29,"Some College","Full Time","Black","Christian","Married",2,2,4,2,2,2,2
"452",1,1,7,1,2,4,2,"Female",39,"High School","Housewife","White","None","Married",4,4,1,4,2,0,1
"453",4,1,3,0,2,2,2,"Female",24,"High School","Other","White","Christian","Single",2,4,2,4,2,1,2
"454",10,1,6,1,1,1,2,"Male",38,"High School","Full Time","White","Christian","Separated",1,2,4,1,2,1,1
"455",10,1,2,1,1,1,2,"Male",65,"High School","Unemployed","White","Christian","Married",1,1,5,2,2,2,2
"456",6,1,4,1,2,2,2,"Female",39,"High School","Full Time","White","Christian","Married",2,4,4,4,2,1,3
"457",9,2,3,1,1,2,2,"Female",24,"High School","Full Time","White","Catholic","Married",1,2,4,2,2,2,2
"458",10,1,2,1,1,2,2,"Female",57,"High School","Full Time","White","Other","Married",1,2,4,2,2,2,3
"459",10,5,5,0,1,2,2,"Male",43,"High School","Full Time","White","Christian","Married",2,2,2,2,2,1,3
"460",8,2,4,1,1,3,2,"Female",26,"High School","Full Time","White","None","Single",2,4,4,4,2,0,2
"461",10,1,1,1,2,1,2,"Male",40,"High School","Full Time","White","Other","Married",1,4,5,2,2,2,1
"462",8,1,3,1,1,2,2,"Male",52,"High School","Full Time","White","Catholic","Separated",2,4,4,4,2,2,2
"463",5,5,6,0,2,3,2,"Male",25,"High School","Other","Other","None","Single",2,4,4,4,2,0,2
"464",1,1,7,0,2,3,2,"Male",52,"Some College","Full Time","Other","Christian","Single",3,2,4,5,2,0,2
"465",-5,-5,-5,NA,-5,1,2,"Female",36,"Some College","Full Time","Black",NA,"Single",2,-5,-5,-5,2,2,-5
"466",2,1,4,0,2,4,2,"Male",35,"High School","Full Time","White","Catholic","Married",4,5,1,4,2,0,2
"467",10,1,7,1,2,1,2,"Female",26,"High School","Housewife","White","Other","Married",1,5,4,4,2,0,4
"468",4,3,7,0,2,-2,2,"Male",57,"High School","Other","Black","Christian","Married",2,4,2,4,2,1,3
"469",10,1,2,1,1,1,2,"Female",25,"High School","Full Time","White","Other","Married",1,5,5,2,2,2,3
"470",10,2,2,1,1,1,2,"Female",26,"High School","Other","White","Christian","Single",1,2,4,2,2,2,1
"471",10,2,4,1,1,3,2,"Female",26,"Some College","Full Time","White","Christian","Single",3,5,1,5,2,1,1
"472",5,3,1,0,1,1,2,"Female",34,"High School","Full Time","White","Other","Married",2,1,5,4,2,2,3
"473",7,6,1,1,1,1,2,"Male",28,"High School","Full Time","White","Other","Married",2,2,4,1,2,2,1
"474",5,1,7,1,2,4,2,"Female",53,"High School","Unemployed","White","Other","Married",3,5,1,5,1,0,1
"475",10,1,1,1,1,1,2,"Female",63,"High School","Unemployed","White","Christian","Married",1,1,5,1,2,2,2
"476",10,-2,3,1,1,2,2,"Female",29,"High School","Unemployed","Hispanic","Catholic","Single",2,-2,-2,-2,2,1,2
"477",1,2,7,0,2,3,2,"Male",54,"Some College","Full Time","White","None","Married",3,5,4,4,2,0,1
"478",10,1,2,1,1,1,2,"Female",69,"High School","Unemployed","White","Christian","Married",1,4,1,4,2,2,2
"479",10,1,2,1,1,1,2,"Female",65,"High School","Full Time","White","Christian","Married",2,4,2,4,2,2,2
"480",3,4,3,1,2,2,2,"Female",54,"Some College","Self Employed","White","Other","Single",3,5,4,5,2,1,1
"481",10,1,2,1,1,1,2,"Female",51,"High School","Full Time","White","Christian","Married",2,2,4,2,2,2,1
"482",1,1,7,0,2,3,2,"Male",38,"High School","Full Time","White","Other","Single",4,5,1,5,2,0,2
"483",10,2,4,1,1,2,2,"Male",54,"High School","Self Employed","White","Christian","Married",1,2,5,4,2,2,1
"484",10,1,1,1,1,1,2,"Female",60,"High School","Full Time","White","Christian","Married",1,4,4,2,2,2,1
"485",8,5,6,1,1,1,2,"Male",45,"High School","Full Time","White","None","Married",1,4,4,4,2,0,2
"486",10,2,2,1,1,1,2,"Female",62,"High School","Full Time","Hispanic","Christian","Married",2,2,5,4,2,2,2
"487",5,5,6,1,1,2,2,"Female",54,"High School","Other","White","Catholic","Widowed",3,4,4,4,2,2,2
"488",5,1,6,1,1,3,2,"Male",47,"High School","Other","White","None","Married",3,5,2,4,2,0,1
"489",7,2,3,1,1,3,2,"Male",31,"High School","Full Time","White","Christian","Married",2,4,4,4,1,2,2
"490",10,1,2,1,1,2,2,"Female",24,"High School","Full Time","Other","Christian","Single",2,4,2,2,2,2,2
"491",7,5,7,0,1,1,2,"Female",56,"High School","Housewife","Other","Christian","Married",2,4,2,5,2,1,1
"492",10,1,3,1,1,1,2,"Male",58,"High School","Unemployed","Black",NA,"Separated",3,4,4,4,2,-2,1
"493",10,2,1,1,1,1,2,"Female",48,"Degree","Full Time","White","Catholic","Single",2,5,2,5,2,2,1
"494",4,1,7,0,2,3,2,"Female",61,"High School","Housewife","White","Catholic","Married",2,5,1,2,1,1,2
