"","X","prvblf","othblf","pubact","prvact","iden1","iden2","wave","sex","age","educ","work","ethnic","denom","marital","pubblf1","pubblf2","pubblf3","pubblf4","prvblf2","prvblf3","prvblf4","othblf2","pubact2","prvact2","pubact3"
"1302",102,4,9,0,0,1,2,"2","Male",69,"High School","Other","White","Christian","Widowed",3,4,4,4,NA,NA,NA,2,NA,3,1
"1303",103,9,0,6,1,2,3,"2","Female",55,"High School","Full Time","White","Christian","Separated",2,1,1,1,NA,NA,NA,2,NA,1,2
"1305",105,8,9,5,1,2,3,"2","Male",71,"High School","Unemployed","White","Christian","Married",2,4,2,4,NA,NA,NA,2,NA,2,2
"1306",106,7,9,5,1,1,3,"2","Male",73,"High School","Unemployed","White","Other","Married",1,4,1,-2,NA,NA,NA,2,NA,1,2
"1309",109,8,2,5,0,2,3,"2","Male",91,"High School","Unemployed","White","Catholic","Widowed",1,4,4,4,NA,NA,NA,2,NA,2,2
"1310",110,9,7,5,1,2,3,"2","Male",87,"Some College","Unemployed","White","Catholic","Married",2,5,4,4,NA,NA,NA,2,NA,3,0
"1311",111,9,9,5,1,2,3,"2","Female",69,"High School","Unemployed","White","Christian","Married",1,4,5,2,NA,NA,NA,2,NA,2,2
"1312",112,9,4,4,1,2,2,"2","Female",51,"High School","Full Time","White","Christian","Married",1,2,2,2,NA,NA,NA,2,NA,2,1
"1313",113,9,7,5,1,2,3,"2","Male",78,"High School","Unemployed","White","Christian","Married",1,2,4,2,NA,NA,NA,2,NA,2,2
"1314",114,8,9,5,1,2,3,"2","Female",87,"High School","Housewife","White","Catholic","Widowed",2,2,2,2,NA,NA,NA,2,NA,2,1
"1315",115,9,9,4,1,2,2,"2","Male",74,"Some College","Unemployed","White","Catholic","Married",1,2,2,2,NA,NA,NA,2,NA,1,1
"1317",117,9,5,5,1,2,3,"2","Male",28,"Some College","Full Time","White","Catholic","Single",1,1,4,2,NA,NA,NA,2,NA,1,2
"1318",118,9,9,6,1,2,3,"2","Male",62,"High School","Other","White","Christian","Married",1,1,4,1,NA,NA,NA,2,NA,1,2
"1319",119,9,9,1,1,2,3,"2","Female",52,"High School","Other","Hispanic","Catholic","Married",3,4,1,4,NA,NA,NA,2,NA,1,1
"1320",120,9,9,1,1,2,3,"2","Female",73,"High School","Unemployed","White","Christian","Married",2,1,1,1,NA,NA,NA,2,NA,1,1
"1321",121,9,8,5,1,2,3,"2","Male",44,"High School","Full Time","White","Christian","Separated",2,4,2,2,NA,NA,NA,2,NA,2,2
"1324",124,9,9,5,1,2,3,"2","Male",81,"Primary School","Unemployed","White","Christian","Married",1,5,2,1,NA,NA,NA,2,NA,3,2
"1330",130,9,9,6,1,2,3,"2","Female",49,"High School","Housewife","Hispanic","Other","Married",2,5,4,2,NA,NA,NA,2,NA,2,2
"1332",132,9,9,2,1,2,2,"2","Male",71,"High School","Unemployed","White","Catholic","Married",2,4,4,4,NA,NA,NA,2,NA,1,1
"1333",133,9,9,0,1,2,3,"2","Female",64,"High School","Unemployed","White","Other","Married",2,4,1,4,NA,NA,NA,2,NA,2,0
"1334",134,9,9,4,1,2,3,"2","Male",76,"High School","Unemployed","White","Christian","Married",2,4,4,2,NA,NA,NA,2,NA,3,2
"1335",135,7,9,3,0,2,2,"2","Female",52,"High School","Full Time","Other","Other","Married",2,5,1,4,NA,NA,NA,2,NA,2,0
"1336",136,9,6,5,1,2,2,"2","Male",60,"High School","Unemployed","White","Judaism","Married",1,4,2,4,NA,NA,NA,2,NA,3,2
"1337",137,5,9,6,0,2,3,"2","Female",21,"High School","Full Time","Black","Other","Single",1,2,2,2,NA,NA,NA,2,NA,1,2
"1338",138,9,9,3,1,2,3,"2","Female",60,"High School","Other","White","Catholic","Married",3,4,1,5,NA,NA,NA,1,NA,2,1
"1340",140,4,6,5,0,2,3,"2","Male",37,"High School","Full Time","White","Catholic","Married",1,1,2,2,NA,NA,NA,2,NA,1,2
"1341",141,9,9,5,1,2,3,"2","Female",78,"High School","Unemployed","White","Christian","Widowed",2,4,1,4,NA,NA,NA,2,NA,3,2
"1342",142,9,9,5,1,2,3,"2","Female",63,"High School","Unemployed","White","Christian","Married",1,1,1,1,NA,NA,NA,2,NA,2,2
"1343",143,9,9,6,1,2,3,"2","Female",75,"High School","Housewife","White","Christian","Widowed",1,1,5,2,NA,NA,NA,2,NA,3,2
"1344",144,9,9,5,1,2,3,"2","Female",77,"High School","Unemployed","White","Catholic","Married",1,4,2,2,NA,NA,NA,2,NA,1,2
"1345",145,9,9,1,1,2,2,"2","Male",72,"High School","Unemployed","White","Catholic","Married",3,2,2,2,NA,NA,NA,2,NA,2,1
"1346",146,8,9,1,1,2,2,"2","Male",65,"High School","Unemployed","White","Catholic","Separated",3,4,2,4,NA,NA,NA,1,NA,2,0
"1347",147,5,6,5,1,2,1,"2","Female",87,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,NA,NA,NA,2,NA,2,2
"1348",148,9,9,6,1,2,3,"2","Male",70,"High School","Other","Black","Christian","Separated",2,1,1,5,NA,NA,NA,2,NA,2,0
"1350",150,7,15,0,1,2,2,"2","Female",64,"High School","Unemployed","White","Catholic","Married",3,-5,-5,-5,NA,NA,NA,2,NA,2,0
"1351",151,9,5,1,1,1,2,"2","Female",85,"Primary School","Unemployed","White","Christian","Married",3,4,4,4,NA,NA,NA,2,NA,2,0
"1353",153,9,9,0,1,2,2,"2","Female",51,"High School","Full Time","White","Other","Married",4,1,1,5,NA,NA,NA,2,NA,1,0
"1355",155,9,9,5,0,2,2,"2","Female",77,"High School","Unemployed","White","Catholic","Married",2,4,5,2,NA,NA,NA,2,NA,3,1
"1356",156,9,9,1,1,2,3,"2","Male",54,"High School","Full Time","Hispanic","Catholic","Married",2,2,4,2,NA,NA,NA,2,NA,1,0
"1357",157,8,9,1,1,2,2,"2","Female",84,"High School","Unemployed","White","Christian","Married",2,1,2,1,NA,NA,NA,2,NA,1,1
"1359",159,9,9,5,1,2,2,"2","Male",77,"High School","Unemployed","White","Catholic","Married",1,4,4,4,NA,NA,NA,2,NA,2,2
"1360",160,4,9,0,0,1,2,"2","Male",55,"High School","Self Employed","White","Christian","Married",3,5,2,4,NA,NA,NA,2,NA,3,0
"1361",161,9,9,0,1,2,2,"2","Male",65,"High School","Unemployed","White","Christian","Married",3,4,2,2,NA,NA,NA,2,NA,3,0
"1362",162,9,9,1,1,2,3,"2","Male",36,"High School","Full Time","Other","Other","Separated",2,1,5,1,NA,NA,NA,2,NA,1,1
"1363",163,9,9,6,1,2,3,"2","Male",47,"High School","Other","Hispanic","Christian","Married",4,1,4,1,NA,NA,NA,2,NA,1,2
"1365",165,9,9,6,1,2,3,"2","Male",53,"High School","Unemployed","Other","Other","Single",3,4,1,4,NA,NA,NA,2,NA,2,2
"1366",166,9,9,0,1,2,3,"2","Male",63,"High School","Unemployed","White","Christian","Married",3,1,4,2,NA,NA,NA,2,NA,3,0
"1368",168,9,8,1,1,2,2,"2","Male",53,"High School","Full Time","Black","Christian","Separated",2,4,4,4,NA,NA,NA,2,NA,2,0
"1373",173,9,9,6,1,2,3,"2","Female",82,"High School","Housewife","Hispanic","Catholic","Widowed",1,4,5,2,NA,NA,NA,2,NA,1,2
"1374",174,6,9,5,1,1,2,"2","Female",41,"High School","Full Time","White","Christian","Married",2,2,2,2,NA,NA,NA,2,NA,3,2
"1375",175,9,9,6,1,2,3,"2","Female",69,"High School","Full Time","White","Christian","Widowed",1,1,2,1,NA,NA,NA,2,NA,3,2
"1376",176,9,9,4,1,2,3,"2","Male",60,"High School","Unemployed","Black","Christian","Married",1,4,4,5,NA,NA,NA,2,NA,1,2
"1377",177,7,9,0,0,2,2,"2","Male",58,"High School","Self Employed","White","Christian","Married",2,5,1,4,NA,NA,NA,2,NA,3,1
"1380",180,7,9,1,1,2,1,"2","Male",45,"High School","Full Time","White","Catholic","Married",2,5,4,4,NA,NA,NA,2,NA,2,1
"1381",181,9,9,5,1,2,3,"2","Male",72,"High School","Unemployed","White","Christian","Married",1,2,5,1,NA,NA,NA,2,NA,2,2
"1382",182,9,9,0,1,2,2,"2","Male",71,"High School","Unemployed","White","Catholic","Married",3,5,2,5,NA,NA,NA,2,NA,2,1
"1384",184,9,8,5,1,2,3,"2","Male",51,"High School","Full Time","Black","Other","Married",1,4,4,4,NA,NA,NA,2,NA,2,2
"1385",185,9,9,6,1,2,3,"2","Female",42,"High School","Housewife","White","Christian","Married",2,2,4,1,NA,NA,NA,2,NA,3,2
"1387",187,9,9,1,1,2,3,"2","Male",65,"Some College","Other","White","Christian","Single",3,4,4,4,NA,NA,NA,2,NA,2,1
"1388",188,6,9,0,1,2,1,"2","Female",54,"High School","Full Time","White","Other","Married",3,4,4,2,NA,NA,NA,2,NA,3,0
"1389",189,1,7,0,0,1,0,"2","Male",64,"High School","Unemployed","White","Christian","Married",3,5,1,5,NA,NA,NA,2,NA,4,1
"1390",190,8,9,0,1,2,2,"2","Female",64,"High School","Unemployed","White","Catholic","Widowed",2,4,2,4,NA,NA,NA,2,NA,3,0
"1391",191,9,9,4,1,2,3,"2","Male",79,"Primary School","Other","White","Christian","Married",1,4,4,5,NA,NA,NA,2,NA,1,1
"1392",192,9,7,5,1,2,3,"2","Male",75,"High School","Unemployed","Other","Christian","Married",1,2,4,4,NA,NA,NA,2,NA,1,2
"1393",193,8,9,0,1,2,2,"2","Male",64,"High School","Unemployed","White","Catholic","Separated",3,4,1,4,NA,NA,NA,2,NA,2,0
"1394",194,8,5,5,1,2,3,"2","Male",69,"High School","Unemployed","White","Christian","Married",2,2,4,2,NA,NA,NA,1,NA,2,1
"1396",196,6,9,1,0,1,1,"2","Male",25,"High School","Full Time","White","Catholic","Married",3,4,1,4,NA,NA,NA,2,NA,3,0
"1397",197,8,9,4,1,2,2,"2","Male",87,"High School","Unemployed","White","Christian","Married",1,4,2,4,NA,NA,NA,2,NA,2,1
"1398",198,9,9,5,1,2,3,"2","Male",54,"High School","Other","White","Other","Widowed",1,1,5,1,NA,NA,NA,2,NA,1,2
"1399",199,7,7,0,0,2,2,"2","Male",50,"Degree","Full Time","White","Judaism","Single",3,5,2,4,NA,NA,NA,2,NA,3,0
"1403",203,9,9,3,1,2,2,"2","Female",63,"Primary School","Unemployed","Hispanic","Catholic","Married",3,2,4,4,NA,NA,NA,2,NA,1,1
"1405",205,9,9,5,1,2,3,"2","Male",71,"Some College","Unemployed","White","Christian","Married",2,2,2,2,NA,NA,NA,2,NA,2,2
"1406",206,9,9,3,1,2,3,"2","Male",84,"High School","Unemployed","White","Catholic","Widowed",1,1,4,2,NA,NA,NA,2,NA,1,2
"1407",207,7,9,3,1,2,3,"2","Male",83,"High School","Unemployed","Other","Judaism","Separated",2,4,4,4,NA,NA,NA,2,NA,3,2
"1408",208,9,9,5,1,2,3,"2","Female",72,"High School","Full Time","White","Catholic","Married",1,2,2,2,NA,NA,NA,2,NA,3,2
"1409",209,8,9,5,1,2,3,"2","Male",42,"High School","Self Employed","Other","Christian","Married",2,2,4,2,NA,NA,NA,2,NA,2,2
"1410",210,4,9,3,1,1,1,"2","Male",53,"High School","Full Time","White","Christian","Married",4,5,1,5,NA,NA,NA,2,NA,2,1
"1411",211,9,9,4,1,2,2,"2","Male",79,"High School","Unemployed","White","Catholic","Married",2,4,4,5,NA,NA,NA,2,NA,2,2
"1412",212,9,8,1,1,2,2,"2","Female",66,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,NA,NA,NA,2,NA,3,0
"1413",213,4,8,0,1,1,1,"2","Male",57,"High School","Full Time","White","Christian","Married",3,4,4,4,NA,NA,NA,2,NA,2,0
"1415",215,0,9,1,0,1,0,"2","Male",76,"High School","Unemployed","White","Christian","Married",4,1,1,1,NA,NA,NA,2,NA,3,0
"1416",216,8,9,5,1,2,3,"2","Female",72,"High School","Housewife","White","Catholic","Married",1,2,4,2,NA,NA,NA,2,NA,2,2
"1417",217,9,8,6,1,2,3,"2","Female",85,"High School","Unemployed","White","Catholic","Widowed",1,2,4,1,NA,NA,NA,2,NA,1,2
"1419",219,9,8,6,1,2,3,"2","Male",43,"Some College","Full Time","Hispanic","Catholic","Single",2,4,4,5,NA,NA,NA,2,NA,1,2
"1424",224,9,8,4,1,2,2,"2","Male",49,"High School","Full Time","Hispanic","Christian","Married",2,4,4,2,NA,NA,NA,2,NA,2,2
"1425",225,9,9,5,1,2,3,"2","Female",53,"High School","Other","White","Christian","Separated",1,4,4,4,NA,NA,NA,2,NA,1,1
"1426",226,9,8,5,1,2,2,"2","Female",63,"High School","Full Time","White","Catholic","Married",2,2,4,2,NA,NA,NA,2,NA,2,0
"1427",227,4,7,2,1,1,1,"2","Female",35,"High School","Self Employed","White","Christian","Married",2,4,2,4,NA,NA,NA,2,NA,3,1
"1428",228,9,9,1,1,2,3,"2","Male",48,"High School","Other","White","Christian","Single",1,1,5,1,NA,NA,NA,2,NA,2,1
"1429",229,9,9,5,1,2,3,"2","Female",73,"Some College","Unemployed","Hispanic","Catholic","Single",2,4,1,2,NA,NA,NA,2,NA,3,2
"1430",230,9,9,6,1,2,3,"2","Male",70,"High School","Unemployed","White","Christian","Married",1,1,1,1,NA,NA,NA,2,NA,1,2
"1431",231,9,9,6,1,2,3,"2","Male",50,"High School","Full Time","White","Other","Married",1,2,5,1,NA,NA,NA,1,NA,1,1
"1432",232,7,9,2,1,2,2,"2","Male",75,"High School","Full Time","White","Christian","Married",1,4,2,4,NA,NA,NA,1,NA,2,0
"1433",233,9,9,5,1,2,3,"2","Female",86,"High School","Unemployed","White","Catholic","Married",1,5,-2,2,NA,NA,NA,2,NA,2,2
"1434",234,9,9,6,1,2,3,"2","Female",69,"High School","Housewife","White","Christian","Married",1,4,4,1,NA,NA,NA,2,NA,1,2
"1435",235,9,9,6,1,2,3,"2","Female",61,"High School","Unemployed","White","Other","Married",2,2,4,1,NA,NA,NA,2,NA,2,2
"1436",236,9,9,5,1,2,3,"2","Male",57,"High School","Full Time","White","Catholic","Married",2,5,5,1,NA,NA,NA,2,NA,1,2
"1437",237,4,6,5,1,2,2,"2","Male",78,"Primary School","Unemployed","White","Catholic","Married",2,4,4,4,NA,NA,NA,2,NA,2,0
"1439",239,4,9,3,0,2,1,"2","Male",73,"High School","Unemployed","White","Catholic","Married",2,4,2,5,NA,NA,NA,2,NA,3,1
"1441",241,9,9,1,1,2,2,"2","Female",73,"High School","Unemployed","White","Other","Widowed",2,2,1,4,NA,NA,NA,2,NA,1,1
"1442",242,9,8,1,1,2,2,"2","Male",32,"High School","Other","White","Christian","Single",2,1,5,1,NA,NA,NA,2,NA,1,1
"1443",243,3,9,3,0,1,1,"2","Male",52,"High School","Other","White","Christian","Separated",2,4,4,4,NA,NA,NA,2,NA,3,1
"1444",244,9,7,5,1,2,2,"2","Female",61,"Some College","Full Time","White","Catholic","Married",2,4,4,4,NA,NA,NA,2,NA,1,2
"1445",245,3,7,1,0,0,3,"2","Male",33,"High School","Full Time","Hispanic","Other","Single",1,1,5,4,NA,NA,NA,2,NA,3,0
"1446",246,9,9,6,1,2,3,"2","Male",84,"High School","Unemployed","White","Christian","Married",1,1,1,1,NA,NA,NA,2,NA,2,2
"1447",247,9,9,5,1,2,3,"2","Female",60,"High School","Self Employed","White","Christian","Married",2,4,4,2,NA,NA,NA,2,NA,2,2
"1449",249,7,9,0,1,1,1,"2","Male",68,"High School","Unemployed","White","Christian","Married",1,5,2,4,NA,NA,NA,1,NA,2,0
"1451",251,7,9,0,1,2,1,"2","Male",62,"Some College","Unemployed","White","Christian","Widowed",3,4,1,2,NA,NA,NA,2,NA,3,0
"1452",252,9,9,5,1,2,3,"2","Female",65,"High School","Unemployed","White","Christian","Married",1,2,4,2,NA,NA,NA,2,NA,1,2
"1453",253,9,1,6,1,2,3,"2","Male",42,"High School","Full Time","Black","Christian","Married",1,4,4,4,NA,NA,NA,2,NA,1,2
"1454",254,4,9,3,0,1,2,"2","Male",75,"High School","Unemployed","White","Judaism","Married",2,5,1,1,NA,NA,NA,2,NA,2,0
"1459",259,9,9,6,1,2,3,"2","Male",38,"High School","Full Time","White","Christian","Married",2,1,2,1,NA,NA,NA,2,NA,1,2
"1461",261,8,9,0,1,2,2,"2","Male",65,"Some College","Unemployed","White","Christian","Married",3,5,1,4,NA,NA,NA,2,NA,2,1
"1463",263,9,9,5,1,2,3,"2","Male",70,"High School","Unemployed","White","Catholic","Married",2,2,5,2,NA,NA,NA,2,NA,2,1
"1464",264,9,9,5,1,2,2,"2","Female",61,"High School","Housewife","White","Christian","Married",3,4,5,1,NA,NA,NA,2,NA,2,0
"1466",266,9,8,5,1,2,3,"2","Female",72,"High School","Unemployed","White","Christian","Widowed",2,1,5,1,NA,NA,NA,2,NA,3,2
"1467",267,9,9,6,1,2,3,"2","Male",52,"High School","Self Employed","White","Christian","Separated",1,2,4,2,NA,NA,NA,2,NA,1,2
"1469",269,8,9,3,1,2,2,"2","Female",29,"High School","Self Employed","White","Christian","Single",2,4,1,4,NA,NA,NA,2,NA,2,1
"1471",271,9,8,5,1,2,3,"2","Male",48,"Primary School","Full Time","White","Christian","Married",2,4,2,2,NA,NA,NA,2,NA,3,1
"1472",272,9,9,4,1,2,3,"2","Female",47,"High School","Full Time","White","Christian","Married",2,2,4,4,NA,NA,NA,2,NA,3,2
"1473",273,4,9,3,0,2,0,"2","Male",54,"High School","Full Time","White","Catholic","Married",4,5,5,1,NA,NA,NA,2,NA,1,0
"1474",274,7,9,0,1,1,2,"2","Male",61,"High School","Other","White","Christian","Married",3,4,4,4,NA,NA,NA,2,NA,1,0
"1475",275,9,9,4,1,2,2,"2","Female",32,"High School","Housewife","White","Other","Married",2,4,1,4,NA,NA,NA,2,NA,2,2
"1476",276,0,9,0,0,1,0,"2","Male",58,"High School","Unemployed","White","Catholic","Separated",3,5,1,1,NA,NA,NA,2,NA,3,0
"1477",277,0,9,4,0,1,0,"2","Male",36,"Some College","Full Time","White","Other","Married",3,5,1,5,NA,NA,NA,2,NA,3,1
"1478",278,9,9,1,1,2,2,"2","Female",44,"High School","Other","White","Christian","Married",3,4,1,4,NA,NA,NA,2,NA,3,1
"1479",279,8,9,1,1,2,2,"2","Male",70,"High School","Unemployed","White","Other","Separated",2,1,2,4,NA,NA,NA,2,NA,2,1
"1480",280,9,7,1,1,2,1,"2","Male",56,"High School","Full Time","White","Catholic","Separated",2,1,2,2,NA,NA,NA,2,NA,3,0
"1481",281,0,9,0,0,1,1,"2","Female",77,"Primary School","Unemployed","White","Judaism","Married",3,5,1,5,NA,NA,NA,1,NA,2,0
"1482",282,7,9,0,1,2,2,"2","Female",71,"High School","Unemployed","White","Christian","Married",3,5,1,4,NA,NA,NA,2,NA,2,1
"1484",284,9,9,6,1,2,3,"2","Male",49,"Some College","Full Time","White","Other","Married",2,4,4,4,NA,NA,NA,2,NA,1,2
"1488",288,9,9,5,1,2,3,"2","Female",62,"High School","Full Time","White","Christian","Married",1,1,1,2,NA,NA,NA,2,NA,3,2
"1489",289,8,9,1,1,2,2,"2","Male",80,"Primary School","Unemployed","White","Christian","Married",3,4,1,4,NA,NA,NA,2,NA,2,1
"1490",290,9,9,5,1,2,3,"2","Female",82,"High School","Unemployed","White","Christian","Widowed",2,4,4,4,NA,NA,NA,2,NA,3,2
"1491",291,8,8,5,1,2,3,"2","Male",76,"High School","Full Time","White","Christian","Married",2,2,4,4,NA,NA,NA,2,NA,1,2
"1494",294,9,9,4,1,2,3,"2","Female",59,"High School","Other","Other","Other","Separated",3,4,1,4,NA,NA,NA,1,NA,1,2
"1495",295,9,9,5,1,2,3,"2","Male",49,"High School","Other","White","Catholic","Single",2,1,4,1,NA,NA,NA,2,NA,1,2
"1497",297,9,9,3,1,2,3,"2","Male",26,"High School","Self Employed","White","Christian","Single",1,4,2,4,NA,NA,NA,2,NA,2,1
"1498",298,9,9,5,1,2,3,"2","Male",74,"High School","Unemployed","White","Catholic","Married",1,2,2,2,NA,NA,NA,2,NA,3,2
"1500",300,9,9,5,1,2,3,"2","Male",91,"Primary School","Unemployed","White","Christian","Widowed",1,4,4,4,NA,NA,NA,2,NA,3,2
"1502",302,4,5,3,1,2,3,"2","Male",23,"High School","Full Time","White","Other","Married",1,2,2,4,NA,NA,NA,2,NA,1,1
"1503",303,9,9,5,1,2,3,"2","Male",74,"High School","Unemployed","Black","Christian","Separated",1,1,2,2,NA,NA,NA,2,NA,2,2
"1504",304,9,9,5,1,2,3,"2","Female",62,"High School","Housewife","White","Christian","Married",1,2,1,2,NA,NA,NA,2,NA,1,2
"1505",305,9,9,5,1,2,2,"2","Female",85,"High School","Unemployed","White","Christian","Married",2,4,4,2,NA,NA,NA,2,NA,2,1
"1506",306,9,9,5,1,2,3,"2","Female",18,"Primary School","Other","White","Christian","Single",2,5,2,2,NA,NA,NA,2,NA,3,2
"1508",308,8,9,0,1,2,2,"2","Female",80,"High School","Unemployed","White","Christian","Widowed",2,1,1,2,NA,NA,NA,2,NA,1,0
"1509",309,9,7,5,1,2,2,"2","Female",52,"High School","Housewife","White","Catholic","Married",2,4,4,4,NA,NA,NA,2,NA,2,2
"1511",311,8,9,2,1,2,2,"2","Female",55,"High School","Housewife","White","Catholic","Married",3,4,1,4,NA,NA,NA,2,NA,3,1
"1512",312,9,7,4,0,2,3,"2","Male",28,"High School","Full Time","Hispanic","Catholic","Married",1,1,1,1,NA,NA,NA,1,NA,3,0
"1513",313,9,9,5,1,2,3,"2","Male",55,"High School","Other","White","Other","Married",1,4,2,2,NA,NA,NA,2,NA,2,2
"1515",315,9,9,5,1,2,3,"2","Male",69,"High School","Unemployed","White","Catholic","Married",2,4,4,2,NA,NA,NA,2,NA,2,2
"1516",316,4,12,1,1,2,2,"2","Female",41,"High School","Housewife","White","Other","Married",-2,1,1,2,NA,NA,NA,2,NA,2,1
"1517",317,9,9,5,1,1,3,"2","Male",52,"High School","Self Employed","Other","Other","Widowed",4,5,1,5,NA,NA,NA,2,NA,1,0
"1518",318,9,9,5,1,2,3,"2","Male",65,"High School","Unemployed","White","Christian","Separated",2,4,5,1,NA,NA,NA,2,NA,1,2
"1519",319,9,9,3,1,2,3,"2","Female",50,"High School","Self Employed","White","Other","Married",2,4,4,2,NA,NA,NA,2,NA,3,1
"1520",320,9,9,1,1,2,3,"2","Male",51,"High School","Self Employed","Black","Christian","Single",3,1,1,4,NA,NA,NA,2,NA,1,0
"1521",321,9,9,4,1,2,3,"2","Male",48,"High School","Full Time","White","Christian","Married",2,4,4,1,NA,NA,NA,2,NA,2,2
"1522",322,9,9,3,1,2,1,"2","Male",66,"High School","Unemployed","White","Catholic","Single",2,5,1,4,NA,NA,NA,2,NA,4,1
"1525",325,9,9,6,1,2,3,"2","Female",65,"High School","Housewife","White","Catholic","Married",1,4,5,1,NA,NA,NA,2,NA,1,2
"1526",326,9,9,6,1,2,3,"2","Male",76,"High School","Unemployed","White","Christian","Widowed",2,2,2,2,NA,NA,NA,2,NA,1,0
"1527",327,9,9,4,1,2,3,"2","Male",46,"High School","Full Time","White","Other","Married",1,5,5,1,NA,NA,NA,2,NA,1,1
"1528",328,9,7,6,1,2,3,"2","Female",25,"Some College","Full Time","White","Christian","Married",1,2,4,2,NA,NA,NA,2,NA,1,2
"1529",329,9,9,3,1,2,2,"2","Male",58,"High School","Full Time","Hispanic","Catholic","Single",3,5,5,5,NA,NA,NA,2,NA,1,1
"1530",330,9,9,NA,1,2,2,"2","Male",77,"High School","Unemployed","White","Christian","Married",1,1,5,1,NA,NA,NA,2,NA,2,1
"1531",331,9,2,5,1,2,3,"2","Female",75,"High School","Unemployed","White","Christian","Widowed",1,1,1,2,NA,NA,NA,2,NA,3,2
"1533",333,9,9,0,1,2,3,"2","Female",49,"High School","Full Time","Hispanic","Catholic","Married",3,4,4,4,NA,NA,NA,1,NA,1,0
"1534",334,9,7,0,1,2,3,"2","Female",65,"High School","Other","White","Catholic","Separated",2,2,4,4,NA,NA,NA,2,NA,2,0
"1536",336,9,9,0,1,2,3,"2","Male",52,"High School","Full Time","White","Christian","Married",3,4,1,2,NA,NA,NA,2,NA,3,1
"1537",337,9,4,1,1,2,2,"2","Male",52,"High School","Full Time","Black","Christian","Single",2,4,1,4,NA,NA,NA,2,NA,4,1
"1538",338,6,6,0,1,2,1,"2","Male",55,"High School","Full Time","Black","Other","Separated",2,5,1,5,NA,NA,NA,1,NA,3,0
"1540",340,8,5,0,1,2,2,"2","Male",43,"High School","Full Time","White","Christian","Married",3,2,1,4,NA,NA,NA,2,NA,2,0
"1541",341,9,9,5,1,2,3,"2","Male",29,"High School","Full Time","White","Other","Married",1,2,1,1,NA,NA,NA,2,NA,4,2
"1544",344,9,9,5,1,2,3,"2","Female",65,"High School","Unemployed","White","Christian","Married",1,1,5,1,NA,NA,NA,2,NA,2,2
"1546",346,9,9,4,1,2,2,"2","Male",40,"High School","Full Time","White","Catholic","Married",1,4,5,2,NA,NA,NA,2,NA,3,2
"1547",347,6,9,0,1,1,1,"2","Male",64,"High School","Other","White","Christian","Married",3,4,2,5,NA,NA,NA,2,NA,2,1
"1548",348,9,8,5,1,2,2,"2","Male",35,"High School","Full Time","Other","Catholic","Married",2,4,2,4,NA,NA,NA,2,NA,1,2
"1549",349,9,7,5,1,2,3,"2","Female",20,"High School","Full Time","White","Other","Single",1,2,1,2,NA,NA,NA,2,NA,2,2
"1550",350,9,9,4,1,2,3,"2","Female",73,"High School","Unemployed","White","Catholic","Married",2,4,5,2,NA,NA,NA,2,NA,2,2
"1551",351,9,9,5,1,2,3,"2","Male",36,"High School","Full Time","White","Christian","Married",2,4,2,4,NA,NA,NA,2,NA,2,2
"1552",352,9,9,5,1,2,3,"2","Female",38,"High School","Housewife","White","Other","Married",2,4,5,2,NA,NA,NA,2,NA,1,2
"1553",353,7,9,0,1,1,1,"2","Female",56,"High School","Full Time","Other","Other","Single",2,4,4,4,NA,NA,NA,2,NA,2,0
"1554",354,9,9,6,1,2,3,"2","Female",36,"Some College","Housewife","White","Christian","Married",1,4,4,4,NA,NA,NA,2,NA,1,2
"1555",355,9,9,5,1,2,3,"2","Female",19,"High School","Full Time","White","Christian","Single",1,4,4,1,NA,NA,NA,2,NA,1,2
"1556",356,6,4,4,1,2,1,"2","Male",48,"High School","Self Employed","White","Christian","Married",2,2,4,2,NA,NA,NA,2,NA,2,0
"1557",357,9,9,5,1,2,3,"2","Female",61,"High School","Unemployed","White","Catholic","Married",2,4,1,4,NA,NA,NA,1,NA,2,2
"1558",358,9,9,4,1,2,3,"2","Female",32,"Some College","Other","White","Christian","Married",2,5,1,4,NA,NA,NA,2,NA,1,2
"1559",359,5,9,2,1,1,2,"2","Male",32,"Some College","Full Time","White","Other","Married",2,5,1,5,NA,NA,NA,2,NA,2,1
"1560",360,9,9,6,1,2,3,"2","Female",65,"Some College","Unemployed","Black","Christian","Widowed",1,2,2,2,NA,NA,NA,2,NA,1,2
"1561",361,6,9,1,0,2,0,"2","Male",38,"High School","Self Employed","White","Christian","Married",3,5,1,4,NA,NA,NA,1,NA,3,0
"1562",362,7,8,6,1,2,3,"2","Female",42,"High School","Self Employed","Hispanic","Other","Married",2,2,4,2,NA,NA,NA,2,NA,3,2
"1563",363,9,8,3,1,2,2,"2","Female",20,"High School","Full Time","White","Catholic","Single",2,4,4,4,NA,NA,NA,2,NA,2,0
"1564",364,9,9,6,1,2,3,"2","Male",72,"High School","Unemployed","White","Christian","Married",1,4,5,1,NA,NA,NA,2,NA,1,2
"1568",368,9,9,5,1,2,3,"2","Female",55,"High School","Full Time","White","Christian","Married",2,1,5,2,NA,NA,NA,2,NA,1,2
"1570",370,9,9,4,1,2,3,"2","Female",72,"High School","Unemployed","White","Christian","Married",2,1,4,2,NA,NA,NA,2,NA,2,1
