"","pubblf1","prvblf4","othblf","pubact","pubact3","prvact","prvact2","iden1","iden2","prvblf","wave","sex","age","educ","work","ethnic","denom","marital"
"508",2,1,1,7,1,0,2,1,2,9,3,"Male",68,"High School","Unemployed","White","None","Married"
"509",2,1,1,4,1,0,1,2,3,5,3,"Male",45,"Degree","Full Time","White","Catholic","Married"
"510",4,1,3,7,0,0,1,2,4,1,3,"Female",25,"Some College","Other","White","None","Single"
"511",2,1,1,4,1,1,3,1,2,10,3,"Female",46,"High School","Unemployed","White","Catholic","Separated"
"512",2,1,1,4,1,1,1,1,2,10,3,"Female",63,"Degree","Full Time","White","Judaism","Married"
"513",1,1,1,2,2,1,4,1,1,10,3,"Male",60,"Degree","Unemployed","White","Christian","Widowed"
"514",2,1,1,1,2,1,1,1,1,10,3,"Male",47,"Degree","Full Time","White","Christian","Married"
"515",3,1,2,4,1,1,3,1,3,10,3,"Male",19,"High School","Other","White","Catholic","Single"
"516",1,1,1,2,2,1,1,1,1,10,3,"Female",60,"Degree","Full Time","White","Catholic","Separated"
"517",2,1,2,5,1,0,2,2,2,7,3,"Male",85,"Degree","Unemployed","White","Christian","Married"
"518",4,1,1,3,0,1,3,1,2,6,3,"Female",27,"Degree","Full Time","Other","Other","Married"
"519",1,1,1,4,0,0,2,2,1,10,3,"Female",35,"Some College","Full Time","White","None","Married"
"520",1,1,1,2,2,1,NA,1,1,NA,3,"Female",52,"High School","Unemployed","Black","None","Separated"
"521",1,1,2,2,2,1,1,1,1,10,3,"Female",67,"High School","Unemployed","White","Christian","Married"
"522",3,1,1,5,1,1,2,1,2,9,3,"Female",49,"Some College","Full Time","Hispanic","Catholic","Married"
"523",3,1,2,3,2,1,1,1,1,10,3,"Male",57,"Some College","Other","Black","Other","Single"
"524",1,1,1,1,2,1,2,1,1,9,3,"Male",66,"Degree","Full Time","Hispanic","Christian","Married"
"525",1,1,1,2,2,1,2,1,1,10,3,"Female",56,"Degree","Part Time","White","Christian","Married"
"526",2,1,2,2,NA,1,3,1,1,10,3,"Female",61,"Some College","Housewife","White","Christian","Married"
"527",1,1,1,1,2,1,2,1,1,10,3,"Female",65,"High School","Unemployed","White","Christian","Married"
"528",2,1,2,1,2,1,2,1,2,10,3,"Male",70,"Degree","Unemployed","Other","Catholic","Married"
"529",3,1,1,7,0,0,2,2,4,5,3,"Male",75,"High School","Unemployed","White","None","Married"
"530",1,1,1,2,2,1,2,1,1,10,3,"Female",51,"High School","Part Time","White","Other","Married"
"531",3,1,1,2,1,1,3,2,3,10,3,"Female",65,"Some College","Unemployed","Hispanic","Catholic","Separated"
"532",1,1,1,2,2,1,3,1,1,10,3,"Female",34,"Degree","Housewife","White","Other","Married"
"533",2,1,1,2,2,1,1,1,1,10,3,"Female",49,"Degree","Housewife","White","Catholic","Married"
"534",3,1,3,2,2,1,1,1,1,10,3,"Male",53,"Some College","Unemployed","White","Catholic","Married"
"535",2,1,1,3,1,1,2,1,1,10,3,"Male",77,"High School","Unemployed","White","None","Married"
"536",2,1,3,6,0,1,1,1,3,10,3,"Male",61,"Some College","Unemployed","White","Other","Married"
"537",3,1,1,3,2,1,2,2,3,4,3,"Female",22,"Some College","Full Time","White","Judaism","Single"
"538",1,1,1,6,0,1,2,1,2,10,3,"Female",75,"High School","Unemployed","White","None","Married"
"539",2,1,1,5,1,0,2,2,3,7,3,"Female",26,"Degree","Full Time","White","Catholic","Single"
"540",2,1,1,2,2,1,1,1,1,10,3,"Male",53,"Some College","Self Employed","White","Christian","Married"
"541",2,1,1,1,2,1,1,1,1,10,3,"Female",70,"High School","Unemployed","White","Christian","Married"
"542",2,1,1,4,1,1,1,2,2,9,3,"Female",72,"High School","Unemployed","White","Catholic","Married"
"543",2,1,1,2,2,1,1,1,1,10,3,"Female",29,"High School","Self Employed","Hispanic","Catholic","Married"
"544",3,1,1,7,1,1,2,1,2,10,3,"Male",49,"Degree","Full Time","White","None","Married"
"545",1,1,1,7,1,0,2,1,2,7,3,"Male",75,"High School","Unemployed","White","None","Married"
"546",3,2,3,7,0,0,NA,2,3,1,3,"Female",64,"High School","Unemployed","White","None","Married"
"547",3,1,3,6,0,0,2,2,2,6,3,"Female",45,"High School","Other","White","None","Married"
"548",2,1,1,2,2,1,2,1,1,10,3,"Female",69,"High School","Unemployed","White","Catholic","Married"
"549",4,1,1,7,0,0,1,2,2,10,3,"Female",38,"Degree","Housewife","Hispanic","None","Married"
"550",2,1,1,2,2,1,3,1,2,10,3,"Male",44,"High School","Unemployed","Hispanic","Catholic","Married"
"551",4,2,1,7,0,0,3,2,4,10,3,"Male",64,"Some College","Full Time","White","None","Married"
"552",2,1,1,1,2,1,2,1,1,10,3,"Female",27,"Degree","Part Time","White","Christian","Married"
"553",2,1,5,7,0,0,1,2,2,5,3,"Male",40,"Some College","Full Time","White","None","Married"
"554",1,1,1,7,1,1,2,1,2,8,3,"Female",64,"High School","Unemployed","White","Christian","Married"
"555",2,1,1,2,2,1,2,1,2,10,3,"Male",69,"High School","Unemployed","White","Catholic","Married"
"556",2,1,1,2,2,1,1,1,1,10,3,"Male",56,"Degree","Full Time","White","Christian","Married"
"557",2,1,1,3,2,1,1,1,2,8,3,"Male",71,"Some College","Unemployed","White","Christian","Married"
"558",2,1,1,7,0,0,2,2,2,5,3,"Male",53,"High School","Part Time","White","None","Married"
"559",2,1,1,6,1,1,2,1,3,7,3,"Male",49,"High School","Part Time","Hispanic","Catholic","Single"
"560",4,2,1,7,0,0,2,2,4,1,3,"Female",27,"Some College","Other","White","None","Married"
"561",1,1,1,2,2,1,1,1,1,10,3,"Male",73,"Some College","Part Time","White","Christian","Married"
"562",1,1,1,1,2,1,1,1,1,10,3,"Male",64,"Degree","Full Time","White","Christian","Married"
"563",2,1,1,7,0,0,2,1,3,7,3,"Female",73,"High School","Unemployed","White","Christian","Married"
"564",2,1,1,6,0,1,2,1,2,10,3,"Male",83,"Degree","Unemployed","White","None","Married"
"565",2,1,1,1,2,1,3,1,1,10,3,"Female",70,"Some College","Housewife","Black","Christian","Married"
"566",3,1,1,6,1,1,2,1,2,10,3,"Female",50,"High School","Full Time","White","Christian","Married"
"567",2,1,1,5,1,1,3,1,2,10,3,"Female",60,"Some College","Full Time","White","Catholic","Married"
"568",2,1,2,2,2,1,1,1,1,10,3,"Female",64,"Degree","Unemployed","White","Christian","Married"
"569",3,1,2,6,0,1,1,2,3,8,3,"Female",48,"High School","Full Time","White","Other","Married"
"570",1,1,2,3,2,1,2,1,1,10,3,"Female",62,"High School","Housewife","Other","Other","Married"
"571",2,1,1,7,1,1,3,1,2,9,3,"Female",65,"Degree","Unemployed","White","Christian","Married"
"572",4,2,5,7,0,0,2,2,1,2,3,"Female",29,"High School","Self Employed","White","None","Married"
"573",2,1,2,3,2,0,2,1,2,5,3,"Male",64,"Degree","Unemployed","White","Christian","Married"
"574",2,1,1,2,2,1,1,1,1,10,3,"Male",80,"High School","Unemployed","White","Christian","Married"
"575",3,1,1,7,0,1,1,1,3,8,3,"Male",34,"Degree","Full Time","White","None","Married"
"576",4,1,1,7,0,0,2,2,4,2,3,"Female",44,"Degree","Full Time","White","None","Married"
"577",2,1,1,7,1,1,2,2,3,7,3,"Female",51,"Degree","Part Time","White","Catholic","Married"
"578",2,1,1,5,0,NA,1,2,1,6,3,"Male",60,"Primary School","Unemployed","Hispanic","None","Single"
"579",1,1,1,7,0,0,2,2,2,6,3,"Male",66,"High School","Unemployed","White","Christian","Married"
"580",2,1,1,2,2,1,3,NA,1,NA,3,"Female",47,"Degree","Part Time","White","Catholic","Married"
"581",3,1,3,5,1,1,2,1,2,8,3,"Female",58,"Some College","Full Time","White","Other","Married"
"582",4,1,1,7,0,0,1,2,4,2,3,"Male",19,"High School","Other","White","None","Single"
"583",2,1,1,5,1,1,2,1,1,10,3,"Female",64,"High School","Unemployed","White","Christian","Separated"
"584",3,1,3,6,1,1,2,1,2,10,3,"Male",66,"High School","Unemployed","Black","Christian","Married"
"585",3,1,1,7,1,1,2,2,1,NA,3,"Female",55,"High School","Unemployed","White","None","Married"
"586",4,NA,1,7,0,0,1,2,4,2,3,"Female",30,"Some College","Full Time","White","None","Married"
"587",3,1,5,7,0,0,3,2,4,2,3,"Female",58,"High School","Unemployed","White","None","Widowed"
"588",2,2,6,5,1,0,4,3,4,8,3,"Female",19,"High School","Part Time","White","None","Single"
"589",3,1,1,7,1,1,2,2,3,8,3,"Female",19,"Some College","Other","Other","Judaism","Single"
"590",4,1,1,1,2,1,1,1,NA,10,3,"Female",32,"Degree","Full Time","Black","Other","Married"
"591",2,1,2,7,0,1,3,2,3,7,3,"Male",55,"Degree","Full Time","White","None","Separated"
"592",1,1,1,2,2,1,2,1,1,9,3,"Male",89,"Some College","Unemployed","White","Christian","Married"
"593",3,1,1,1,2,1,1,1,1,10,3,"Female",51,"High School","Housewife","White","Other","Married"
"594",2,1,1,2,2,1,2,1,1,10,3,"Female",60,"High School","Housewife","Hispanic","Catholic","Married"
"595",2,1,2,2,2,1,1,1,1,10,3,"Male",75,"High School","Unemployed","Black","Christian","Married"
"596",2,1,1,4,1,1,2,1,1,7,3,"Male",56,"Degree","Full Time","White","Catholic","Married"
"597",1,1,1,2,2,1,2,1,1,10,3,"Female",28,"Some College","Other","White","Christian","Married"
"598",2,1,5,1,2,1,2,1,1,8,3,"Female",63,"Degree","Unemployed","Black","Christian","Married"
"599",1,1,1,7,0,1,2,1,1,10,3,"Female",55,"Degree","Full Time","White","Christian","Married"
"600",2,1,2,5,0,1,2,1,2,8,3,"Female",32,"Primary School","Unemployed","Hispanic","Catholic","Married"
"601",2,1,1,7,0,1,3,3,3,3,3,"Female",34,"Degree","Full Time","White","None","Single"
"602",1,1,2,3,1,1,4,1,2,10,3,"Female",47,"Degree","Self Employed","White","Christian","Married"
"603",3,1,1,7,0,0,4,1,2,8,3,"Female",62,"Some College","Unemployed","White","None","Married"
"604",2,1,2,3,2,1,2,1,2,6,3,"Male",61,"Some College","Full Time","White","Christian","Married"
"605",1,1,1,2,2,1,1,1,1,10,3,"Female",46,"Degree","Other","White","Christian","Married"
"606",2,1,2,2,0,1,4,2,2,9,3,"Male",64,"Degree","Unemployed","White","Catholic","Married"
"607",2,1,6,5,1,0,3,2,3,7,3,"Male",19,"High School","Full Time","Hispanic","None","Single"
"608",1,1,1,5,0,1,1,1,1,10,3,"Female",64,"High School","Unemployed","Black","Christian","Separated"
"609",2,1,1,7,0,0,3,1,4,6,3,"Male",74,"Degree","Unemployed","Other","Other","Married"
"610",2,1,1,2,2,1,1,1,1,10,3,"Male",34,"Degree","Full Time","Other","Catholic","Married"
"611",4,2,1,7,0,0,1,2,4,1,3,"Female",39,"Degree","Full Time","White","None","Married"
"612",3,NA,1,2,1,1,2,NA,2,NA,3,"Male",61,"Degree","Full Time","Black","Other","Married"
"613",2,1,5,3,1,1,1,1,1,10,3,"Male",55,"High School","Full Time","White","Other","Married"
"614",3,1,2,3,1,1,2,1,2,10,3,"Female",71,"Degree","Self Employed","White","Christian","Married"
"615",2,1,1,2,1,1,2,1,1,10,3,"Male",24,"Some College","Full Time","White","Christian","Single"
"616",2,1,1,5,0,1,2,1,2,9,3,"Male",30,"Degree","Full Time","White","Other","Married"
"617",4,2,1,7,0,0,1,2,4,1,3,"Male",71,"High School","Unemployed","Hispanic","None","Married"
"618",3,1,1,3,1,1,2,1,3,8,3,"Male",72,"High School","Unemployed","White","Christian","Married"
"619",2,1,1,4,1,1,1,2,2,9,3,"Male",56,"Degree","Unemployed","White","Catholic","Separated"
"620",1,1,1,2,2,1,2,1,1,10,3,"Female",64,"Some College","Unemployed","White","Other","Married"
"621",2,1,1,3,1,1,2,1,1,7,3,"Female",65,"High School","Self Employed","White","Christian","Married"
"622",3,1,1,7,1,1,1,1,1,10,3,"Female",64,"Degree","Unemployed","White","None","Separated"
"623",2,2,1,7,0,0,2,2,3,1,3,"Male",21,"High School","Part Time","White","None","Single"
"624",2,1,1,4,2,1,1,1,1,10,3,"Male",71,"Degree","Unemployed","White","Christian","Married"
"625",4,1,1,7,0,1,2,1,2,8,3,"Female",57,"Degree","Full Time","White","None","Separated"
"626",2,1,1,3,1,1,2,1,2,10,3,"Female",25,"Degree","Other","White","Christian","Married"
"627",2,1,1,3,1,0,1,1,2,10,3,"Female",29,"High School","Housewife","Hispanic","Catholic","Married"
"628",3,1,5,6,1,0,1,1,1,5,3,"Female",37,"Degree","Full Time","Hispanic","None","Separated"
"629",2,1,1,3,1,1,2,1,1,10,3,"Male",55,"Degree","Other","White","Other","Separated"
"630",3,1,1,7,1,1,2,1,2,9,3,"Female",69,"High School","Unemployed","White","None","Married"
"631",2,1,1,6,1,1,1,1,2,10,3,"Female",77,"High School","Unemployed","White","Christian","Married"
"632",3,1,5,4,1,1,2,2,3,7,3,"Female",44,"Degree","Housewife","Hispanic","Judaism","Married"
"633",2,1,1,7,0,0,3,2,2,8,3,"Female",61,"High School","Unemployed","Other","None","Married"
"634",1,1,6,2,0,1,2,1,1,10,3,"Male",54,"High School","Full Time","Other","Catholic","Married"
"635",3,2,1,7,0,0,2,2,4,1,3,"Female",64,"High School","Housewife","White","None","Married"
"636",2,1,1,2,2,1,2,1,1,10,3,"Female",61,"Degree","Unemployed","White","Catholic","Married"
"637",1,1,1,2,2,1,1,1,1,10,3,"Male",54,"Degree","Full Time","White","Christian","Married"
"638",2,1,1,5,1,1,2,1,1,9,3,"Female",46,"High School","Housewife","White","Christian","Married"
"639",2,1,1,3,0,1,2,2,2,10,3,"Male",21,"High School","Full Time","Hispanic","None","Single"
"640",4,2,1,5,0,0,1,2,4,2,3,"Male",60,"Degree","Full Time","White","None","Married"
"641",4,2,1,7,0,0,4,3,4,1,3,"Male",41,"High School","Other","White","None","Single"
"642",2,1,1,3,1,1,2,1,2,8,3,"Female",32,"Degree","Housewife","White","Christian","Married"
"643",4,2,1,7,0,0,3,2,4,1,3,"Male",25,"Degree","Part Time","White","None","Single"
"644",2,1,1,7,1,0,2,2,3,3,3,"Female",34,"Degree","Housewife","Hispanic","None","Married"
"645",2,1,1,2,2,1,1,1,1,10,3,"Female",57,"Degree","Other","Other","Christian","Widowed"
"646",1,1,1,3,1,1,2,1,1,10,3,"Male",38,"High School","Other","Hispanic","Other","Married"
"647",3,2,1,7,0,0,1,2,4,1,3,"Male",58,"Degree","Self Employed","White","None","Married"
"648",3,1,1,7,0,0,2,1,2,10,3,"Male",63,"High School","Unemployed","White","None","Married"
"649",3,1,5,2,1,1,2,2,2,7,3,"Female",51,"Degree","Full Time","Hispanic","Catholic","Married"
"650",1,1,1,2,2,1,2,1,2,10,3,"Male",50,"Degree","Full Time","White","Catholic","Separated"
"651",3,1,2,6,0,1,2,2,3,10,3,"Male",42,"High School","Unemployed","Hispanic","None","Married"
"652",2,1,1,2,1,1,1,1,1,9,3,"Female",83,"High School","Unemployed","White","Christian","Widowed"
"653",2,1,1,2,2,1,2,1,2,10,3,"Female",73,"Some College","Part Time","White","Judaism","Widowed"
"654",1,1,2,2,2,1,1,1,1,10,3,"Female",45,"Degree","Full Time","White","Catholic","Married"
"655",3,1,1,3,1,1,2,2,3,7,3,"Male",20,"High School","Other","White","Other","Single"
"656",2,1,1,4,1,1,1,1,3,7,3,"Female",51,"Some College","Full Time","Black","None","Married"
"657",3,1,1,4,1,1,2,1,2,10,3,"Female",64,"Some College","Housewife","Hispanic","Catholic","Married"
"658",1,1,2,3,2,1,1,1,1,6,3,"Female",55,"High School","Unemployed","Other","Catholic","Separated"
"659",3,1,1,2,2,1,1,2,1,10,3,"Male",48,"High School","Full Time","White","Other","Married"
"660",1,1,1,1,2,1,2,1,2,10,3,"Male",42,"Some College","Full Time","White","Christian","Married"
"661",NA,NA,1,2,2,NA,2,NA,2,NA,3,"Male",36,"High School","Full Time","White",NA,"Married"
"662",4,1,1,7,0,1,2,1,2,8,3,"Male",20,"High School","Full Time","Black","Other","Single"
"663",2,1,1,3,1,1,2,1,1,8,3,"Male",57,"Degree","Full Time","White","Christian","Married"
"664",3,1,1,2,2,1,2,2,2,8,3,"Male",59,"Degree","Unemployed","White","Catholic","Married"
"665",3,1,1,7,0,0,2,1,3,7,3,"Female",43,"Degree","Full Time","White","None","Single"
"666",2,1,1,6,1,0,3,1,2,5,3,"Female",67,"High School","Full Time","White","Catholic","Married"
"667",2,1,1,5,1,1,1,1,1,10,3,"Male",63,"High School","Other","Black","Other","Married"
"668",4,2,2,7,0,0,2,3,4,1,3,"Male",59,"Degree","Full Time","White","None","Married"
"669",2,1,1,2,2,1,1,1,2,9,3,"Male",78,"Degree","Unemployed","White","Christian","Married"
"670",2,1,1,7,0,0,3,1,3,8,3,"Female",47,"High School","Full Time","White","None","Married"
"671",1,1,1,6,0,1,3,1,1,10,3,"Female",55,"High School","Housewife","White","Christian","Married"
"672",3,1,1,7,0,0,1,2,4,1,3,"Male",75,"Degree","Unemployed","White","None","Separated"
"673",1,1,1,6,1,1,3,1,2,10,3,"Female",55,"High School","Housewife","White","Catholic","Married"
"674",3,1,1,7,0,1,1,1,2,10,3,"Male",62,"Some College","Unemployed","White","Other","Married"
"675",2,1,1,7,0,1,3,1,2,9,3,"Male",60,"High School","Other","White","None","Separated"
"676",3,2,1,6,0,0,3,2,2,1,3,"Female",67,"Degree","Unemployed","White","Judaism","Married"
"677",2,1,1,3,1,1,2,1,2,9,3,"Male",71,"Degree","Part Time","White","Christian","Married"
"678",3,1,5,7,0,1,1,1,3,7,3,"Female",33,"High School","Other","White","None","Single"
"679",2,1,1,2,2,1,2,1,1,9,3,"Male",61,"Degree","Full Time","White","Christian","Married"
"680",2,1,1,3,1,1,2,1,1,10,3,"Female",65,"Degree","Unemployed","Black","Christian","Single"
"681",2,1,3,7,0,0,3,2,3,5,3,"Male",57,"High School","Full Time","White","None","Married"
"682",1,1,1,2,2,1,3,1,1,10,3,"Female",60,"Some College","Part Time","White","Christian","Married"
"683",1,1,1,1,2,1,1,1,1,10,3,"Male",57,"Degree","Self Employed","White","Christian","Married"
"684",4,2,3,7,0,0,2,3,4,1,3,"Male",55,"Degree","Unemployed","White","None","Single"
"685",1,1,1,1,2,1,1,1,1,10,3,"Female",22,"Some College","Part Time","White","Christian","Single"
"686",3,1,1,7,0,0,4,2,3,5,3,"Female",57,"High School","Part Time","White","None","Married"
"687",4,2,1,7,0,0,1,2,4,1,3,"Male",44,"Degree","Full Time","White","None","Married"
"688",2,1,1,2,0,1,1,2,3,8,3,"Male",49,"High School","Full Time","White","None","Married"
"689",3,1,1,7,0,0,1,1,4,3,3,"Female",21,"Some College","Other","White","None","Married"
"690",3,2,1,7,0,0,1,3,3,2,3,"Male",25,"Degree","Full Time","White","None","Married"
"691",2,1,1,7,1,1,3,1,3,6,3,"Female",53,"High School","Full Time","White","Christian","Married"
"692",2,1,1,4,1,1,2,1,2,6,3,"Male",65,"Some College","Full Time","White","Catholic","Married"
"693",2,1,1,6,0,1,2,2,2,8,3,"Female",29,"Some College","Unemployed","White","None","Married"
"694",2,1,1,2,1,1,2,1,2,10,3,"Female",48,"Degree","Full Time","Black","Christian","Single"
"695",1,1,1,2,2,1,NA,1,1,9,3,"Male",55,"High School","Full Time","White","Christian","Married"
"696",1,1,1,2,2,1,1,1,1,10,3,"Female",49,"Some College","Full Time","White","Christian","Married"
"697",3,1,2,7,2,1,1,1,2,10,3,"Male",53,"High School","Other","White","Other","Single"
"698",1,1,1,2,2,1,1,1,2,10,3,"Male",68,"Degree","Full Time","White","Christian","Married"
"699",NA,2,2,7,0,0,2,2,4,1,3,"Female",35,"Degree","Full Time","White","None","Married"
"700",2,1,3,7,0,0,2,2,4,3,3,"Male",60,"Some College","Full Time","White","None","Married"
"701",4,2,1,7,0,0,1,3,4,1,3,"Female",41,"Degree","Full Time","White","None","Married"
"702",3,1,5,7,1,0,4,2,3,5,3,"Female",52,"Primary School","Full Time","Hispanic","None","Married"
"703",4,1,1,2,2,0,3,1,2,10,3,"Female",33,"Degree","Full Time","Black","Other","Single"
"704",2,1,1,3,1,1,1,1,2,8,3,"Female",50,"High School","Part Time","White","Christian","Married"
"705",4,2,3,7,0,0,2,2,4,1,3,"Male",36,"Some College","Other","White","None","Married"
"706",2,1,1,2,2,1,1,1,1,10,3,"Male",74,"High School","Unemployed","White","Other","Separated"
"707",1,1,7,1,2,1,2,1,1,10,3,"Male",19,"High School","Unemployed","White","Other","Single"
"708",2,1,1,2,2,1,1,1,1,10,3,"Female",34,"Degree","Housewife","White","Christian","Married"
"709",2,1,1,1,2,1,2,1,1,10,3,"Male",63,"Degree","Unemployed","White","Christian","Married"
"710",2,1,1,6,0,1,1,2,3,5,3,"Female",22,"High School","Other","White","None","Married"
"711",4,2,1,7,0,0,2,3,4,1,3,"Male",87,"Some College","Unemployed","White","None","Widowed"
"712",2,1,1,2,2,1,2,1,1,10,3,"Male",56,"High School","Self Employed","White","Christian","Married"
"713",2,1,1,6,0,1,1,1,2,10,3,"Male",54,"Some College","Full Time","White","None","Married"
"714",2,1,3,7,0,0,2,2,3,5,3,"Female",47,"Some College","Full Time","White","None","Married"
"715",2,1,1,6,1,1,3,1,2,7,3,"Female",47,"Degree","Full Time","White","Christian","Married"
"716",2,1,1,7,0,1,3,1,2,7,3,"Male",49,"Some College","Full Time","White","Christian","Married"
"717",4,1,1,7,0,0,1,2,4,6,3,"Female",45,"Degree","Housewife","White","Christian","Married"
"718",2,1,1,6,1,1,1,1,1,10,3,"Female",27,"Degree","Full Time","Black","Other","Single"
"719",3,1,5,3,2,1,2,1,2,7,3,"Male",56,"Degree","Full Time","White","Christian","Married"
"720",2,1,1,7,0,0,3,1,4,8,3,"Male",54,"High School","Full Time","White","Christian","Married"
"721",3,2,1,7,0,0,2,2,4,1,3,"Female",55,"Some College","Full Time","White","None","Separated"
"722",1,1,2,3,1,1,2,1,2,9,3,"Male",46,"Degree","Full Time","White","Catholic","Married"
"723",3,2,2,7,0,0,3,3,4,1,3,"Male",43,"Some College","Full Time","White","None","Separated"
"724",3,2,2,3,2,0,2,2,3,1,3,"Female",60,"Degree","Full Time","White","Judaism","Married"
"725",3,1,1,7,0,1,2,2,2,7,3,"Female",52,"High School","Unemployed","White","Catholic","Married"
"726",2,1,1,6,1,1,2,1,1,10,3,"Male",43,"Degree","Full Time","White","Christian","Separated"
"727",3,1,1,6,0,1,1,2,3,6,3,"Male",73,"Primary School","Unemployed","Hispanic","Catholic","Married"
"728",2,1,1,1,2,1,2,1,1,8,3,"Female",73,"High School","Part Time","White","Christian","Married"
"729",1,1,1,1,2,1,2,1,2,10,3,"Male",58,"Degree","Unemployed","Black","Other","Widowed"
"730",2,1,1,1,2,1,1,1,1,10,3,"Female",39,"Degree","Unemployed","Hispanic","Other","Single"
"731",4,2,1,7,0,0,1,3,4,1,3,"Male",46,"Degree","Unemployed","White","None","Married"
"732",1,1,1,1,2,1,1,1,1,10,3,"Male",37,"Degree","Full Time","White","Other","Married"
"733",2,1,1,7,1,1,3,1,2,10,3,"Female",78,"High School","Unemployed","White","Catholic","Widowed"
"734",3,2,1,4,1,0,2,2,3,3,3,"Female",59,"Degree","Full Time","Other","Other","Married"
"735",2,1,1,7,0,0,2,2,1,10,3,"Male",61,"Primary School","Full Time","Hispanic","None","Married"
"736",3,1,1,7,0,0,2,1,2,10,3,"Male",66,"High School","Unemployed","White","None","Married"
"737",2,1,2,2,2,1,1,1,1,10,3,"Female",61,"Degree","Full Time","Black","Other","Married"
"738",1,1,1,1,2,1,1,1,1,10,3,"Male",73,"Degree","Unemployed","White","Catholic","Married"
"739",2,1,1,2,2,1,3,1,1,10,3,"Male",45,"Degree","Full Time","White","Christian","Married"
"740",2,1,1,6,1,1,2,1,1,10,3,"Female",24,"Some College","Other","White","Other","Married"
"741",4,1,1,7,0,0,2,2,4,4,3,"Male",42,"High School","Full Time","White","None","Single"
"742",3,1,1,2,2,1,2,1,1,10,3,"Male",84,"Some College","Unemployed","White","Catholic","Married"
"743",2,1,1,7,0,1,2,1,2,8,3,"Female",70,"Degree","Unemployed","White","Christian","Married"
"744",3,NA,1,7,0,0,1,2,3,2,3,"Female",47,"Some College","Housewife","White","None","Married"
"745",2,1,1,2,2,1,2,1,1,10,3,"Male",74,"Degree","Unemployed","Black","Christian","Widowed"
"746",4,2,1,7,0,1,2,2,3,3,3,"Male",67,"Degree","Unemployed","White","None","Married"
"747",3,2,NA,5,0,0,2,1,2,3,3,"Female",49,"Degree","Unemployed","Other","Other","Married"
"748",2,1,1,5,1,0,2,2,2,6,3,"Male",28,"Degree","Full Time","Other","Christian","Single"
"749",3,2,2,7,0,0,1,2,NA,2,3,"Male",41,"Degree","Full Time","White","None","Married"
"750",4,2,4,7,0,0,2,3,4,1,3,"Male",23,"Some College","Full Time","White","None","Single"
"751",4,1,1,1,2,1,1,1,1,10,3,"Female",66,"High School","Unemployed","Black","Other","Separated"
"752",3,1,1,6,1,1,1,1,2,10,3,"Female",38,"Some College","Part Time","White","None","Separated"
"753",2,1,1,7,1,1,2,1,2,9,3,"Female",62,"Some College","Unemployed","White","None","Married"
"754",4,2,5,7,0,0,1,2,4,1,3,"Female",28,"Degree","Housewife","White","None","Single"
"755",1,1,1,4,1,1,2,1,1,10,3,"Female",76,"High School","Unemployed","White","Catholic","Married"
"756",2,1,1,3,1,1,2,1,3,7,3,"Male",88,"Some College","Unemployed","White","Christian","Widowed"
"757",NA,2,NA,NA,0,NA,NA,NA,4,NA,3,"Female",22,"High School",NA,"White",NA,"Single"
"758",1,1,1,1,2,1,1,1,1,10,3,"Female",61,"Some College","Part Time","White","Other","Married"
"759",2,1,2,2,NA,1,3,2,3,7,3,"Male",73,"Degree","Unemployed","White","Catholic","Widowed"
"760",3,1,1,2,2,1,1,1,1,10,3,"Female",30,"Some College","Housewife","Hispanic","Other","Married"
"761",2,1,3,7,0,0,3,2,3,6,3,"Male",58,"Some College","Self Employed","White","Christian","Single"
"762",2,1,1,1,2,1,1,1,1,10,3,"Female",66,"High School","Unemployed","Hispanic","Catholic","Married"
"763",3,1,7,7,0,0,4,2,4,1,3,"Female",61,"Degree","Part Time","White","None","Married"
"764",1,1,1,1,2,1,1,1,1,10,3,"Female",59,"Some College","Other","White","Christian","Married"
"765",3,1,1,7,0,0,2,2,4,3,3,"Female",23,"Degree","Full Time","White","Catholic","Single"
"766",3,1,1,7,0,0,4,1,4,5,3,"Female",61,"High School","Unemployed","White","None","Married"
"767",2,1,2,2,2,1,3,1,1,10,3,"Male",61,"Degree","Full Time","White","Christian","Married"
"768",3,1,2,3,2,1,2,1,1,9,3,"Female",47,"Degree","Self Employed","White","Christian","Married"
"769",2,1,6,2,2,1,2,1,1,10,3,"Female",61,"High School","Unemployed","White","None","Married"
"770",1,1,1,3,1,1,1,1,1,10,3,"Female",53,"Some College","Housewife","White","Christian","Married"
"771",3,1,3,7,0,0,4,2,4,5,3,"Male",69,"High School","Unemployed","White","Catholic","Separated"
"772",2,1,1,6,1,1,2,1,1,10,3,"Female",81,"Some College","Unemployed","White","Christian","Widowed"
"773",4,2,1,7,0,0,2,2,4,1,3,"Male",65,"Degree","Unemployed","Other","None","Married"
"774",2,1,4,6,0,1,2,1,2,5,3,"Male",63,"Degree","Full Time","White","Christian","Separated"
"775",1,1,1,1,2,1,2,1,1,10,3,"Male",73,"High School","Unemployed","Black","Catholic","Married"
"776",1,1,1,2,2,1,1,1,1,10,3,"Female",69,"Some College","Part Time","White","Other","Separated"
"777",3,1,5,7,0,0,4,2,3,5,3,"Male",32,"High School","Part Time","White","None","Married"
"778",1,1,3,5,1,1,1,1,1,10,3,"Female",57,"High School","Unemployed","White","Catholic","Married"
"779",3,1,2,7,0,0,2,2,3,2,3,"Female",30,"Degree","Full Time","Hispanic","None","Married"
